日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260529,ガンホー・オンライン・エンターテイメント,3765,情報・通信業,0.0094%,TOPIX Small 1
20260529,ＧＭＯペイメントゲートウェイ,3769,情報・通信業,0.0362%,TOPIX Mid400
20260529,システムリサーチ,3771,情報・通信業,0.0024%,TOPIX Small 2
20260529,インターネットイニシアティブ,3774,情報・通信業,0.0308%,TOPIX Mid400
20260529,さくらインターネット,3778,情報・通信業,0.0077%,TOPIX Small 1
20260529,ＧＭＯグローバルサイン・ホールディングス,3788,情報・通信業,0.0011%,TOPIX Small 2
20260529,ＳＲＡホールディングス,3817,情報・通信業,0.0047%,TOPIX Small 2
20260529,朝日ネット,3834,情報・通信業,0.0012%,TOPIX Small 2
20260529,ｅＢＡＳＥ,3835,情報・通信業,0.0009%,TOPIX Small 2
20260529,アバントグループ,3836,情報・通信業,0.0022%,TOPIX Small 2
20260529,アドソル日進,3837,情報・通信業,0.0020%,TOPIX Small 2
20260529,フリービット,3843,情報・通信業,0.0014%,TOPIX Small 2
20260529,コムチュア,3844,情報・通信業,0.0032%,TOPIX Small 1
20260529,アステリア,3853,情報・通信業,0.0034%,TOPIX Small 2
20260529,アイル,3854,情報・通信業,0.0030%,TOPIX Small 2
20260529,王子ホールディングス,3861,パルプ・紙,0.0536%,TOPIX Mid400
20260529,日本製紙,3863,パルプ・紙,0.0129%,TOPIX Small 1
20260529,北越コーポレーション,3865,パルプ・紙,0.0081%,TOPIX Small 1
20260529,大王製紙,3880,パルプ・紙,0.0087%,TOPIX Small 1
20260529,マークラインズ,3901,情報・通信業,0.0014%,TOPIX Small 2
20260529,ｇｕｍｉ,3903,情報・通信業,0.0010%,TOPIX Small 2
20260529,テラスカイ,3915,情報・通信業,0.0013%,TOPIX Small 2
20260529,デジタル・インフォメーション・テクノロジー,3916,情報・通信業,0.0016%,TOPIX Small 2
20260529,ネオジャパン,3921,情報・通信業,0.0007%,TOPIX Small 2
20260529,ＰＲ　ＴＩＭＥＳ,3922,情報・通信業,0.0008%,TOPIX Small 2
20260529,ラクス,3923,情報・通信業,0.0169%,TOPIX Mid400
20260529,ダブルスタンダード,3925,情報・通信業,0.0008%,TOPIX Small 2
20260529,オープンドア,3926,情報・通信業,0.0003%,TOPIX Small 2
20260529,アカツキ,3932,情報・通信業,0.0028%,TOPIX Small 2
20260529,Ｕｂｉｃｏｍホールディングス,3937,情報・通信業,0.0005%,TOPIX Small 2
20260529,カナミックネットワーク,3939,情報・通信業,0.0011%,TOPIX Small 2
20260529,レンゴー,3941,パルプ・紙,0.0267%,TOPIX Mid400
20260529,トーモク,3946,パルプ・紙,0.0042%,TOPIX Small 2
20260529,ザ・パック,3950,パルプ・紙,0.0047%,TOPIX Small 2
20260529,チェンジホールディングス,3962,情報・通信業,0.0033%,TOPIX Small 1
20260529,オークネット,3964,情報・通信業,0.0044%,TOPIX Small 2
20260529,オロ,3983,情報・通信業,0.0015%,TOPIX Small 2
20260529,ユーザーローカル,3984,情報・通信業,0.0013%,TOPIX Small 2
20260529,ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,3993,情報・通信業,0.0061%,TOPIX Small 1
20260529,マネーフォワード,3994,情報・通信業,0.0179%,TOPIX Mid400
20260529,レゾナック・ホールディングス,4004,化学,0.3273%,TOPIX Mid400
20260529,住友化学,4005,化学,0.0888%,TOPIX Mid400
20260529,住友精化,4008,化学,0.0050%,TOPIX Small 1
20260529,日産化学,4021,化学,0.0684%,TOPIX Mid400
20260529,ラサ工業,4022,化学,0.0058%,TOPIX Small 2
20260529,クレハ,4023,化学,0.0105%,TOPIX Small 1
20260529,多木化学,4025,化学,0.0035%,TOPIX Small 2
20260529,テイカ,4027,化学,0.0031%,TOPIX Small 2
20260529,石原産業,4028,化学,0.0100%,TOPIX Small 1
20260529,日本曹達,4041,化学,0.0136%,TOPIX Small 1
20260529,東ソー,4042,化学,0.0725%,TOPIX Mid400
20260529,トクヤマ,4043,化学,0.0323%,TOPIX Mid400
20260529,セントラル硝子,4044,化学,0.0094%,TOPIX Small 1
20260529,東亞合成,4045,化学,0.0128%,TOPIX Mid400
20260529,大阪ソーダ,4046,化学,0.0119%,TOPIX Small 1
20260529,関東電化工業,4047,化学,0.0127%,TOPIX Small 1
20260529,ＧＭＯフィナンシャルゲート,4051,情報・通信業,0.0020%,TOPIX Small 2
20260529,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,4053,情報・通信業,0.0007%,TOPIX Small 2
20260529,デンカ,4061,化学,0.0321%,TOPIX Mid400
20260529,イビデン,4062,電気機器,0.5252%,TOPIX Mid400
20260529,信越化学工業,4063,化学,1.2482%,TOPIX Core30
20260529,日本カーバイド工業,4064,化学,0.0029%,TOPIX Small 2
20260529,プラスアルファ・コンサルティング,4071,情報・通信業,0.0068%,TOPIX Small 1
20260529,電算システムホールディングス,4072,情報・通信業,0.0024%,TOPIX Small 2
20260529,堺化学工業,4078,化学,0.0069%,TOPIX Small 1
20260529,第一稀元素化学工業,4082,化学,0.0042%,TOPIX Small 2
20260529,日本酸素ホールディングス,4091,化学,0.1266%,TOPIX Mid400
20260529,日本化学工業,4092,化学,0.0035%,TOPIX Small 2
20260529,日本パーカライジング,4095,化学,0.0134%,TOPIX Small 1
20260529,高圧ガス工業,4097,化学,0.0029%,TOPIX Small 2
20260529,四国化成ホールディングス,4099,化学,0.0128%,TOPIX Small 2
20260529,オリオンビール,409A,食料品,0.0046%,TOPIX Small 2
20260529,戸田工業,4100,化学,0.0008%,TOPIX Small 2
20260529,ステラ　ケミファ,4109,化学,0.0067%,TOPIX Small 1
20260529,保土谷化学工業,4112,化学,0.0027%,TOPIX Small 2
20260529,日本触媒,4114,化学,0.0230%,TOPIX Mid400
20260529,大日精化工業,4116,化学,0.0052%,TOPIX Small 2
20260529,カネカ,4118,化学,0.0235%,TOPIX Mid400
20260529,協和キリン,4151,医薬品,0.0534%,TOPIX Mid400
20260529,ブルーゾーンホールディングス,417A,小売業,0.0196%,TOPIX Mid400
20260529,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,4180,情報・通信業,0.0066%,TOPIX Small 1
20260529,三菱瓦斯化学,4182,化学,0.0714%,TOPIX Mid400
20260529,三井化学,4183,化学,0.0710%,TOPIX Mid400
20260529,東京応化工業,4186,化学,0.0950%,TOPIX Mid400
20260529,大阪有機化学工業,4187,化学,0.0087%,TOPIX Small 1
20260529,三菱ケミカルグループ,4188,化学,0.1452%,TOPIX Large70
20260529,ＫＨネオケム,4189,化学,0.0084%,TOPIX Small 1
20260529,ビジョナル,4194,情報・通信業,0.0192%,TOPIX Mid400
20260529,ダイセル,4202,化学,0.0265%,TOPIX Mid400
20260529,住友ベークライト,4203,化学,0.0411%,TOPIX Mid400
20260529,積水化学工業,4204,化学,0.0866%,TOPIX Mid400
20260529,日本ゼオン,4205,化学,0.0279%,TOPIX Mid400
20260529,アイカ工業,4206,化学,0.0158%,TOPIX Mid400
20260529,ＵＢＥ,4208,化学,0.0275%,TOPIX Mid400
20260529,積水樹脂,4212,化学,0.0046%,TOPIX Small 1
20260529,旭有機材,4216,化学,0.0080%,TOPIX Small 1
20260529,ニチバン,4218,化学,0.0020%,TOPIX Small 2
20260529,リケンテクノス,4220,化学,0.0049%,TOPIX Small 2
20260529,大倉工業,4221,化学,0.0045%,TOPIX Small 2
20260529,積水化成品工業,4228,化学,0.0016%,TOPIX Small 2
20260529,群栄化学工業,4229,化学,0.0019%,TOPIX Small 2
20260529,ダイキョーニシカワ,4246,化学,0.0042%,TOPIX Small 2
20260529,森六,4249,化学,0.0023%,TOPIX Small 2
20260529,恵和,4251,化学,0.0015%,TOPIX Small 2
20260529,日本化薬,4272,化学,0.0277%,TOPIX Mid400
20260529,カーリット,4275,化学,0.0038%,TOPIX Small 2
20260529,ＣＬホールディングス,4286,サービス業,0.0006%,TOPIX Small 2
20260529,プレステージ・インターナショナル,4290,サービス業,0.0043%,TOPIX Small 1
20260529,ハイマックス,4299,情報・通信業,0.0006%,TOPIX Small 2
20260529,テクセンドフォトマスク,429A,その他製品,0.0308%,TOPIX Small 2
20260529,アミューズ,4301,サービス業,0.0018%,TOPIX Small 2
20260529,野村総合研究所,4307,情報・通信業,0.1775%,TOPIX Large70
20260529,ドリームインキュベータ,4310,サービス業,0.0017%,TOPIX Small 2
20260529,クイック,4318,サービス業,0.0034%,TOPIX Small 2
20260529,日本システム技術,4323,情報・通信業,0.0028%,TOPIX Small 2
20260529,電通グループ,4324,サービス業,0.0540%,TOPIX Mid400
20260529,インテージホールディングス,4326,情報・通信業,0.0023%,TOPIX Small 2
20260529,テイクアンドギヴ・ニーズ,4331,サービス業,0.0006%,TOPIX Small 2
20260529,ぴあ,4337,サービス業,0.0023%,TOPIX Small 2
20260529,イオンファンタジー,4343,サービス業,0.0020%,TOPIX Small 2
20260529,ソースネクスト,4344,情報・通信業,0.0011%,TOPIX Small 2
20260529,シーティーエス,4345,サービス業,0.0019%,TOPIX Small 2
20260529,メディカルシステムネットワーク,4350,小売業,0.0010%,TOPIX Small 2
20260529,日本精化,4362,化学,0.0028%,TOPIX Small 2
20260529,扶桑化学工業,4368,化学,0.0246%,TOPIX Small 1
20260529,トリケミカル研究所,4369,化学,0.0083%,TOPIX Small 1
20260529,シンプレクス・ホールディングス,4373,情報・通信業,0.0153%,TOPIX Small 1
20260529,ＨＥＲＯＺ,4382,情報・通信業,0.0005%,TOPIX Small 2
20260529,メルカリ,4385,情報・通信業,0.0331%,TOPIX Mid400
20260529,アイ・ピー・エス,4390,情報・通信業,0.0022%,TOPIX Small 2
20260529,システムサポートホールディングス,4396,情報・通信業,0.0015%,TOPIX Small 2
20260529,ＡＤＥＫＡ,4401,化学,0.0301%,TOPIX Mid400
20260529,日油,4403,化学,0.0581%,TOPIX Mid400
20260529,ハリマ化成グループ,4410,化学,0.0015%,TOPIX Small 2
20260529,ボードルア,4413,情報・通信業,0.0032%,TOPIX Small 2
20260529,ＮＥ,441A,情報・通信業,0.0005%,TOPIX Small 2
20260529,イーソル,4420,情報・通信業,0.0009%,TOPIX Small 2
20260529,ウイングアーク１ｓｔ,4432,情報・通信業,0.0048%,TOPIX Small 1
20260529,ヒト・コミュニケーションズ・ホールディングス,4433,サービス業,0.0005%,TOPIX Small 2
20260529,サーバーワークス,4434,情報・通信業,0.0008%,TOPIX Small 2
20260529,Ｓａｎｓａｎ,4443,情報・通信業,0.0101%,TOPIX Small 1
20260529,ギフティ,4449,情報・通信業,0.0016%,TOPIX Small 2
20260529,花王,4452,化学,0.2623%,TOPIX Large70
20260529,第一工業製薬,4461,化学,0.0082%,TOPIX Small 2
20260529,石原ケミカル,4462,化学,0.0021%,TOPIX Small 2
20260529,三洋化成工業,4471,化学,0.0058%,TOPIX Small 1
20260529,メドレー,4480,情報・通信業,0.0049%,TOPIX Small 1
20260529,ベース,4481,情報・通信業,0.0024%,TOPIX Small 2
20260529,ＪＭＤＣ,4483,情報・通信業,0.0075%,TOPIX Small 1
20260529,武田薬品工業,4502,医薬品,0.8252%,TOPIX Core30
20260529,アステラス製薬,4503,医薬品,0.3628%,TOPIX Large70
20260529,住友ファーマ,4506,医薬品,0.0295%,TOPIX Mid400
20260529,塩野義製薬,4507,医薬品,0.1983%,TOPIX Large70
20260529,日本新薬,4516,医薬品,0.0199%,TOPIX Mid400
20260529,中外製薬,4519,医薬品,0.4475%,TOPIX Large70
20260529,科研製薬,4521,医薬品,0.0107%,TOPIX Small 1
20260529,エーザイ,4523,医薬品,0.0942%,TOPIX Mid400
20260529,理研ビタミン,4526,食料品,0.0044%,TOPIX Small 2
20260529,ロート製薬,4527,医薬品,0.0456%,TOPIX Mid400
20260529,小野薬品工業,4528,医薬品,0.0967%,TOPIX Mid400
20260529,持田製薬,4534,医薬品,0.0076%,TOPIX Small 2
20260529,参天製薬,4536,医薬品,0.0584%,TOPIX Mid400
20260529,扶桑薬品工業,4538,医薬品,0.0014%,TOPIX Small 2
20260529,ツムラ,4540,医薬品,0.0237%,TOPIX Mid400
20260529,テルモ,4543,精密機器,0.2881%,TOPIX Large70
20260529,Ｈ．Ｕ．グループホールディングス,4544,サービス業,0.0182%,TOPIX Mid400
20260529,キッセイ薬品工業,4547,医薬品,0.0110%,TOPIX Small 1
20260529,生化学工業,4548,医薬品,0.0024%,TOPIX Small 2
20260529,栄研化学,4549,医薬品,0.0076%,TOPIX Small 1
20260529,ＪＣＲファーマ,4552,医薬品,0.0039%,TOPIX Small 1
20260529,東和薬品,4553,医薬品,0.0096%,TOPIX Small 1
20260529,富士製薬工業,4554,医薬品,0.0034%,TOPIX Small 2
20260529,ゼリア新薬工業,4559,医薬品,0.0054%,TOPIX Small 1
20260529,ネクセラファーマ,4565,医薬品,0.0085%,TOPIX Small 1
20260529,第一三共,4568,医薬品,0.4492%,TOPIX Core30
20260529,杏林製薬,4569,医薬品,0.0046%,TOPIX Small 1
20260529,大幸薬品,4574,医薬品,0.0010%,TOPIX Small 2
20260529,ダイト,4577,医薬品,0.0027%,TOPIX Small 2
20260529,大塚ホールディングス,4578,医薬品,0.4726%,TOPIX Large70
20260529,ペプチドリーム,4587,医薬品,0.0097%,TOPIX Mid400
20260529,大日本塗料,4611,化学,0.0026%,TOPIX Small 2
20260529,日本ペイントホールディングス,4612,化学,0.1015%,TOPIX Mid400
20260529,関西ペイント,4613,化学,0.0354%,TOPIX Mid400
20260529,中国塗料,4617,化学,0.0125%,TOPIX Small 1
20260529,藤倉化成,4620,化学,0.0021%,TOPIX Small 2
20260529,太陽ホールディングス,4626,化学,0.0431%,TOPIX Mid400
20260529,ＤＩＣ,4631,化学,0.0311%,TOPIX Mid400
20260529,サカタインクス,4633,化学,0.0095%,TOPIX Small 1
20260529,ａｒｔｉｅｎｃｅ,4634,化学,0.0142%,TOPIX Small 1
20260529,アルプス技研,4641,サービス業,0.0036%,TOPIX Small 2
20260529,サニックスホールディングス,4651,サービス業,0.0006%,TOPIX Small 2
20260529,日本空調サービス,4658,サービス業,0.0031%,TOPIX Small 2
20260529,オリエンタルランド,4661,サービス業,0.2512%,TOPIX Large70
20260529,フォーカスシステムズ,4662,情報・通信業,0.0019%,TOPIX Small 2
20260529,ダスキン,4665,サービス業,0.0169%,TOPIX Mid400
20260529,パーク２４,4666,不動産業,0.0236%,TOPIX Mid400
20260529,明光ネットワークジャパン,4668,サービス業,0.0016%,TOPIX Small 2
20260529,ファルコホールディングス,4671,サービス業,0.0019%,TOPIX Small 2
20260529,クレスコ,4674,情報・通信業,0.0048%,TOPIX Small 2
20260529,フジ・メディア・ホールディングス,4676,情報・通信業,0.0537%,TOPIX Mid400
20260529,ラウンドワン,4680,サービス業,0.0159%,TOPIX Mid400
20260529,リゾートトラスト,4681,サービス業,0.0299%,TOPIX Mid400
20260529,オービック,4684,情報・通信業,0.1342%,TOPIX Mid400
20260529,ジャストシステム,4686,情報・通信業,0.0106%,TOPIX Small 1
20260529,ＴＤＣソフト,4687,情報・通信業,0.0032%,TOPIX Small 2
20260529,ＬＩＮＥヤフー,4689,情報・通信業,0.1164%,TOPIX Large70
20260529,ビー・エム・エル,4694,サービス業,0.0086%,TOPIX Small 1
20260529,トレンドマイクロ,4704,情報・通信業,0.0629%,TOPIX Mid400
20260529,ＩＤホールディングス,4709,情報・通信業,0.0024%,TOPIX Small 2
20260529,リソー教育グループ,4714,サービス業,0.0011%,TOPIX Small 2
20260529,日本オラクル,4716,情報・通信業,0.0299%,TOPIX Mid400
20260529,早稲田アカデミー,4718,サービス業,0.0022%,TOPIX Small 2
20260529,アルファシステムズ,4719,情報・通信業,0.0019%,TOPIX Small 2
20260529,ＮＳグループ,471A,その他金融業,0.0046%,TOPIX Small 2
20260529,フューチャー,4722,情報・通信業,0.0062%,TOPIX Small 1
20260529,ＣＡＣ　Ｈｏｌｄｉｎｇｓ,4725,情報・通信業,0.0020%,TOPIX Small 2
20260529,ユー・エス・エス,4732,サービス業,0.0619%,TOPIX Mid400
20260529,オービックビジネスコンサルタント,4733,情報・通信業,0.0187%,TOPIX Mid400
20260529,アイティフォー,4743,情報・通信業,0.0031%,TOPIX Small 2
20260529,東計電算,4746,情報・通信業,0.0022%,TOPIX Small 2
20260529,サイバーエージェント,4751,サービス業,0.0532%,TOPIX Mid400
20260529,楽天グループ,4755,サービス業,0.1095%,TOPIX Mid400
20260529,クリーク・アンド・リバー社,4763,サービス業,0.0014%,TOPIX Small 2
20260529,ＳＢＩグローバルアセットマネジメント,4765,サービス業,0.0021%,TOPIX Small 2
20260529,テー・オー・ダブリュー,4767,サービス業,0.0013%,TOPIX Small 2
20260529,大塚商会,4768,情報・通信業,0.0593%,TOPIX Mid400
20260529,サイボウズ,4776,情報・通信業,0.0063%,TOPIX Small 1
20260529,ＧＭＯインターネット,4784,サービス業,0.0003%,TOPIX Small 2
20260529,山田コンサルティンググループ,4792,サービス業,0.0013%,TOPIX Small 2
20260529,セントラルスポーツ,4801,サービス業,0.0018%,TOPIX Small 2
20260529,パラカ,4809,不動産業,0.0012%,TOPIX Small 2
20260529,電通総研,4812,情報・通信業,0.0139%,TOPIX Small 1
20260529,デジタルガレージ,4819,情報・通信業,0.0053%,TOPIX Small 1
20260529,イーエムシステムズ,4820,情報・通信業,0.0012%,TOPIX Small 2
20260529,ウェザーニューズ,4825,情報・通信業,0.0053%,TOPIX Small 1
20260529,ＣＩＪ,4826,情報・通信業,0.0021%,TOPIX Small 2
20260529,ビジネスエンジニアリング,4828,情報・通信業,0.0022%,TOPIX Small 2
20260529,ＷＯＷＯＷ,4839,情報・通信業,0.0014%,TOPIX Small 2
20260529,スカラ,4845,情報・通信業,0.0006%,TOPIX Small 2
20260529,フルキャストホールディングス,4848,サービス業,0.0022%,TOPIX Small 2
20260529,エン,4849,サービス業,0.0038%,TOPIX Small 1
20260529,セルソース,4880,医薬品,0.0004%,TOPIX Small 2
20260529,あすか製薬ホールディングス,4886,医薬品,0.0051%,TOPIX Small 2
20260529,サワイグループホールディングス,4887,医薬品,0.0164%,TOPIX Mid400
20260529,富士フイルムホールディングス,4901,化学,0.3628%,TOPIX Large70
20260529,コニカミノルタ,4902,電気機器,0.0248%,TOPIX Mid400
20260529,資生堂,4911,化学,0.0987%,TOPIX Mid400
20260529,ライオン,4912,化学,0.0337%,TOPIX Mid400
20260529,高砂香料工業,4914,化学,0.0077%,TOPIX Small 1
20260529,ミルボン,4919,化学,0.0075%,TOPIX Small 1
20260529,コーセーホールディングス,4922,化学,0.0229%,TOPIX Mid400
20260529,コタ,4923,化学,0.0022%,TOPIX Small 2
20260529,ポーラ・オルビスホールディングス,4927,化学,0.0120%,TOPIX Mid400
20260529,ノエビアホールディングス,4928,化学,0.0071%,TOPIX Small 1
20260529,新日本製薬,4931,化学,0.0020%,TOPIX Small 2
20260529,Ｉ－ｎｅ,4933,化学,0.0006%,TOPIX Small 2
20260529,アクシージア,4936,化学,0.0003%,TOPIX Small 2
20260529,エステー,4951,化学,0.0025%,TOPIX Small 2
20260529,コニシ,4956,化学,0.0078%,TOPIX Small 2
20260529,長谷川香料,4958,化学,0.0106%,TOPIX Small 1
20260529,小林製薬,4967,化学,0.0278%,TOPIX Mid400
20260529,荒川化学工業,4968,化学,0.0023%,TOPIX Small 2
20260529,メック,4971,化学,0.0142%,TOPIX Small 1
20260529,日本高純度化学,4973,化学,0.0026%,TOPIX Small 2
20260529,ＪＣＵ,4975,化学,0.0143%,TOPIX Small 1
20260529,ＯＡＴアグリオ,4979,化学,0.0018%,TOPIX Small 2
20260529,デクセリアルズ,4980,化学,0.0620%,TOPIX Mid400
20260529,アース製薬,4985,化学,0.0078%,TOPIX Small 1
20260529,北興化学工業,4992,化学,0.0023%,TOPIX Small 2
20260529,大成ラミックグループ,4994,化学,0.0012%,TOPIX Small 2
20260529,クミアイ化学工業,4996,化学,0.0062%,TOPIX Small 1
20260529,日本農薬,4997,化学,0.0029%,TOPIX Small 2
20260529,ニチレキグループ,5011,石油・石炭製品,0.0039%,TOPIX Small 2
20260529,ユシロ,5013,石油・石炭製品,0.0031%,TOPIX Small 2
20260529,ＪＸ金属,5016,非鉄金属,0.2803%,TOPIX Mid400
20260529,出光興産,5019,石油・石炭製品,0.1040%,TOPIX Mid400
20260529,ＥＮＥＯＳホールディングス,5020,石油・石炭製品,0.3342%,TOPIX Large70
20260529,コスモエネルギーホールディングス,5021,石油・石炭製品,0.0375%,TOPIX Mid400
20260529,ＡＮＹＣＯＬＯＲ,5032,情報・通信業,0.0083%,TOPIX Small 1
20260529,日本ビジネスシステムズ,5036,情報・通信業,0.0033%,TOPIX Small 2
20260529,テスホールディングス,5074,建設業,0.0051%,TOPIX Small 2
20260529,インフロニア・ホールディングス,5076,建設業,0.0455%,TOPIX Mid400
20260529,横浜ゴム,5101,ゴム製品,0.0726%,TOPIX Mid400
20260529,ＴＯＹＯ　ＴＩＲＥ,5105,ゴム製品,0.0434%,TOPIX Mid400
20260529,ブリヂストン,5108,ゴム製品,0.3413%,TOPIX Large70
20260529,住友ゴム工業,5110,ゴム製品,0.0407%,TOPIX Mid400
20260529,藤倉コンポジット,5121,ゴム製品,0.0037%,TOPIX Small 2
20260529,オカモト,5122,ゴム製品,0.0053%,TOPIX Small 2
20260529,アキレス,5142,化学,0.0012%,TOPIX Small 2
20260529,フコク,5185,ゴム製品,0.0015%,TOPIX Small 2
20260529,ニッタ,5186,ゴム製品,0.0104%,TOPIX Small 2
20260529,三ツ星ベルト,5192,ゴム製品,0.0091%,TOPIX Small 1
20260529,バンドー化学,5195,ゴム製品,0.0060%,TOPIX Small 2
20260529,ＡＧＣ,5201,ガラス・土石製品,0.1223%,TOPIX Mid400
20260529,日本板硝子,5202,ガラス・土石製品,0.0051%,TOPIX Small 1
20260529,有沢製作所,5208,化学,0.0073%,TOPIX Small 1
20260529,日本電気硝子,5214,ガラス・土石製品,0.0395%,TOPIX Mid400
20260529,オハラ,5218,ガラス・土石製品,0.0011%,TOPIX Small 2
20260529,住友大阪セメント,5232,ガラス・土石製品,0.0165%,TOPIX Mid400
20260529,太平洋セメント,5233,ガラス・土石製品,0.0506%,TOPIX Mid400
20260529,日本ヒューム,5262,ガラス・土石製品,0.0033%,TOPIX Small 1
20260529,日本コンクリート工業,5269,ガラス・土石製品,0.0011%,TOPIX Small 2
20260529,三谷セキサン,5273,ガラス・土石製品,0.0047%,TOPIX Small 2
20260529,アジアパイルホールディングス,5288,ガラス・土石製品,0.0045%,TOPIX Small 2
20260529,東海カーボン,5301,ガラス・土石製品,0.0325%,TOPIX Mid400
20260529,日本カーボン,5302,ガラス・土石製品,0.0049%,TOPIX Small 1
20260529,東洋炭素,5310,ガラス・土石製品,0.0118%,TOPIX Small 1
20260529,ノリタケ,5331,ガラス・土石製品,0.0149%,TOPIX Small 1
20260529,ＴＯＴＯ,5332,ガラス・土石製品,0.0863%,TOPIX Mid400
20260529,ＮＧＫ,5333,ガラス・土石製品,0.1247%,TOPIX Mid400
20260529,日本特殊陶業,5334,ガラス・土石製品,0.1505%,TOPIX Mid400
20260529,ＭＡＲＵＷＡ,5344,ガラス・土石製品,0.0560%,TOPIX Mid400
20260529,品川リフラ,5351,ガラス・土石製品,0.0043%,TOPIX Small 1
20260529,ヨータイ,5357,ガラス・土石製品,0.0018%,TOPIX Small 2
20260529,フジミインコーポレーテッド,5384,ガラス・土石製品,0.0214%,TOPIX Small 1
20260529,ニチアス,5393,ガラス・土石製品,0.0501%,TOPIX Mid400
20260529,日本製鉄,5401,鉄鋼,0.2879%,TOPIX Large70
20260529,神戸製鋼所,5406,鉄鋼,0.0742%,TOPIX Mid400
20260529,中山製鋼所,5408,鉄鋼,0.0025%,TOPIX Small 2
20260529,合同製鐵,5410,鉄鋼,0.0029%,TOPIX Small 1
20260529,ＪＦＥホールディングス,5411,鉄鋼,0.1028%,TOPIX Mid400
20260529,東京製鐵,5423,鉄鋼,0.0091%,TOPIX Small 1
20260529,ＡＲＣＨＩＯＮ,543A,輸送用機器,0.0095%,TOPIX Small 1
20260529,共英製鋼,5440,鉄鋼,0.0039%,TOPIX Small 1
20260529,大和工業,5444,鉄鋼,0.0395%,TOPIX Mid400
20260529,東京鐵鋼,5445,鉄鋼,0.0038%,TOPIX Small 1
20260529,大阪製鐵,5449,鉄鋼,0.0022%,TOPIX Small 2
20260529,ＧＭＳグループ,544A,機械,0.0009%,TOPIX Small 2
20260529,ヨドコウ,5451,鉄鋼,0.0133%,TOPIX Small 1
20260529,トランヴィア,545A,情報・通信業,0.0009%,TOPIX Small 2
20260529,中部鋼鈑,5461,鉄鋼,0.0036%,TOPIX Small 1
20260529,丸一鋼管,5463,鉄鋼,0.0338%,TOPIX Mid400
20260529,モリ工業,5464,鉄鋼,0.0020%,TOPIX Small 2
20260529,ＭＩＲＡＩＮＩホールディングス,546A,卸売業,0.0056%,TOPIX Small 2
20260529,大同特殊鋼,5471,鉄鋼,0.0274%,TOPIX Mid400
20260529,ムニノバホールディングス,547A,その他金融業,0.0127%,TOPIX Small 1
20260529,日本冶金工業,5480,鉄鋼,0.0058%,TOPIX Small 1
20260529,愛知製鋼,5482,鉄鋼,0.0103%,TOPIX Small 1
20260529,大平洋金属,5541,鉄鋼,0.0037%,TOPIX Small 2
20260529,新日本電工,5563,鉄鋼,0.0056%,TOPIX Small 1
20260529,栗本鐵工所,5602,鉄鋼,0.0059%,TOPIX Small 1
20260529,日本製鋼所,5631,機械,0.0424%,TOPIX Mid400
20260529,三菱製鋼,5632,鉄鋼,0.0027%,TOPIX Small 2
20260529,日本精線,5659,鉄鋼,0.0021%,TOPIX Small 2
20260529,エンビプロ・ホールディングス,5698,鉄鋼,0.0013%,TOPIX Small 2
20260529,大紀アルミニウム工業所,5702,非鉄金属,0.0051%,TOPIX Small 1
20260529,日本軽金属ホールディングス,5703,非鉄金属,0.0172%,TOPIX Small 1
20260529,三井金属,5706,非鉄金属,0.2403%,TOPIX Mid400
20260529,東邦亜鉛,5707,非鉄金属,0.0016%,TOPIX Small 2
20260529,三菱マテリアル,5711,非鉄金属,0.0641%,TOPIX Mid400
20260529,住友金属鉱山,5713,非鉄金属,0.2322%,TOPIX Mid400
20260529,ＤＯＷＡホールディングス,5714,非鉄金属,0.0518%,TOPIX Mid400
20260529,古河機械金属,5715,非鉄金属,0.0079%,TOPIX Small 1
20260529,大阪チタニウムテクノロジーズ,5726,非鉄金属,0.0094%,TOPIX Small 1
20260529,ＵＡＣＪ,5741,非鉄金属,0.0374%,TOPIX Small 1
20260529,ＣＫサンエツ,5757,非鉄金属,0.0022%,TOPIX Small 2
20260529,古河電気工業,5801,非鉄金属,0.3230%,TOPIX Mid400
20260529,住友電気工業,5802,非鉄金属,0.8099%,TOPIX Large70
20260529,フジクラ,5803,非鉄金属,0.6865%,TOPIX Large70
20260529,ＳＷＣＣ,5805,非鉄金属,0.0402%,TOPIX Small 1
20260529,平河ヒューテック,5821,非鉄金属,0.0043%,TOPIX Small 2
20260529,いよぎんホールディングス,5830,銀行業,0.0711%,TOPIX Mid400
20260529,しずおかフィナンシャルグループ,5831,銀行業,0.1125%,TOPIX Mid400
20260529,ちゅうぎんフィナンシャルグループ,5832,銀行業,0.0447%,TOPIX Mid400
20260529,楽天銀行,5838,銀行業,0.0439%,TOPIX Mid400
20260529,京都フィナンシャルグループ,5844,銀行業,0.1079%,TOPIX Mid400
20260529,リョービ,5851,非鉄金属,0.0059%,TOPIX Small 1
20260529,ＡＲＥホールディングス,5857,非鉄金属,0.0277%,TOPIX Small 1
20260529,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,5889,小売業,0.0017%,TOPIX Small 2
