fold,feature,coefficient
0,reversal_1,0.022028988675639873
0,momentum_5,-0.0035817816813504245
0,momentum_15,0.0005965098131048633
0,volatility_15,0.000802621651923858
0,vwap_deviation,-0.000426550327168145
0,volume_shock,6.7116961390725316e-06
0,range_position,2.541254364766543e-05
0,market_return_1,0.019428673796551665
0,minute_sin,-1.1960907221678412e-06
0,minute_cos,-1.6334159622371322e-06
1,reversal_1,0.023348747029341976
1,momentum_5,-0.0021465362218869434
1,momentum_15,0.0009478822107912599
1,volatility_15,-0.00013953574143388045
1,vwap_deviation,-0.0008005343220323225
1,volume_shock,4.529299243467851e-06
1,range_position,2.1455894572478414e-05
1,market_return_1,0.021509259535062296
1,minute_sin,-8.167106763195958e-07
1,minute_cos,-1.1954161960713252e-06
2,reversal_1,0.008458134068510873
2,momentum_5,-0.00315378721709862
2,momentum_15,-5.939078311430387e-06
2,volatility_15,-0.0028294734209374887
2,vwap_deviation,0.00022877949246200095
2,volume_shock,3.4066848853180855e-06
2,range_position,1.5849745857053856e-06
2,market_return_1,0.012141979732327656
2,minute_sin,1.0955212994361096e-07
2,minute_cos,6.808599138849418e-07
